Interval=	2.5e-005 s																					
ExcelDateTime=	4.46E+04	17:28.0																				
TimeFormat=	StartOfBlock																					
DateFormat=																						
ChannelTitle=	Stimulus	BioAmp Recording																				
Range=	1000.0 mV	500.0 ?V																				
0.00705	0.4375	-112.375																				
0.007075	0.4375	-112.9531																		Interval=	2.5e-005 s	
0.0071	0.4375	-113.5469																		ExcelDateTime=	4.46E+04	22:23.7
0.009075	0.40625	-84.34375																		0.0089	0.40625	-24.07813
0.0091	0.40625	-89.14063																		0.0089	0.4375	-27.01563
0.009125	0.40625	-93.96875																		0.0090	0.4375	-29.85938
0.00915	0.40625	-98.79688																		0.0090	0.4375	-32.60938
0.009175	0.40625	-103.6719																		0.0090	0.4375	-35.34375
0.0092	0.40625	-108.5																		0.0090	0.4375	-38.04688
0.009225	0.40625	-113.2969																		0.0091	0.4375	-40.76563
0.00925	0.40625	-118.0156																		0.0091	0.4375	-43.53125
0.009275	0.40625	-122.6406																		0.0091	0.4375	-46.3125
0.0093	0.40625	-127.2031																		0.0091	0.4375	-49.09375
0.009325	0.40625	-131.7188																		0.0092	0.4375	-51.89063
0.00935	0.40625	-136.2031																		0.0092	0.4375	-54.65625
0.009375	0.40625	-140.6719																		0.0092	0.4375	-57.4375
0.0094	0.40625	-145.1094																		0.0092	0.4375	-60.20313
0.009425	0.40625	-149.5156																		0.0093	0.4375	-62.96875
0.00945	0.40625	-153.8281																		0.0093	0.4375	-65.75
0.009475	0.40625	-157.9844																		0.0093	0.4375	-68.51563
0.0095	0.40625	-161.9531																		0.0093	0.4375	-71.26563
0.009525	0.40625	-165.6875																		0.0094	0.4375	-74.01563
0.00955	0.40625	-169.1406																		0.0094	0.4375	-76.76563
0.009575	0.40625	-172.3125																		0.0094	0.40625	-79.51563
0.0096	0.40625	-175.2188																		0.0094	0.4375	-82.26563
0.009625	0.40625	-177.8594																		0.0095	0.4375	-85.03125
0.00965	0.4375	-180.2969																		0.0095	0.4375	-87.8125
0.009675	0.4375	-182.5469																		0.0095	0.4375	-90.57813
0.0097	0.4375	-184.7188																		0.0095	0.4375	-93.35938
0.009725	0.4375	-186.8125																		0.0096	0.40625	-96.125
0.00975	0.4375	-188.8594																		0.0096	0.40625	-98.875
0.009775	0.4375	-190.8438																		0.0096	0.40625	-101.6094
0.0098	0.4375	-192.7031																		0.0096	0.40625	-104.2969
