Interval=	0.0025 s
ExcelDateTime=	4.6071576883843394e+004	2/18/2026 13:50:42.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
238.3775	5.05
238.38	-0.01875
238.3825	-5.28125
238.385	-8.85
238.3875	-11.525
238.39	-15.975
238.3925	-22.78125
238.395	-29.7125
238.3975	-34.19375
238.4	-34.65625
238.4025	-32
238.405	-29.79375
238.4075	-31.30625
238.41	-36.1
238.4125	-41.23125
238.415	-44.825
238.4175	-46.7375
238.42	-46.75
238.4225	-44.66875
238.425	-41.5875
238.4275	-38.3375
238.43	-34.26875
238.4325	-29.41875
238.435	-24.425
238.4375	-18.7
238.44	-12.21875
238.4425	-6.8
238.445	-3.23125
238.4475	-0.6
238.45	1.6
238.4525	3.26875
238.455	3.64375
238.4575	2.2
238.46	0.825
238.4625	2.1125
238.465	5.6875
238.4675	8.56875
238.47	8.41875
238.4725	5.11875
238.475	-0.225
238.4775	-6.675
238.48	-13.43125
238.4825	-19.73125
238.485	-24.91875
238.4875	-27.9125
238.49	-28.66875
238.4925	-29.225
238.495	-31.6375
238.4975	-36.39375
238.5	-42.6375
238.5025	-48.39375
238.505	-51.475
238.5075	-51.9375
238.51	-51.86875
238.5125	-52.25625
238.515	-52.2
238.5175	-50.46875
238.52	-46.3375
238.5225	-40.40625
238.525	-34.8875
238.5275	-32.025
238.53	-32.05625
238.5325	-32.63125
238.535	-30.8625
238.5375	-25.65
238.54	-18.5
238.5425	-11.63125
238.545	-5.03125
238.5475	3.25625
238.55	12.99375
238.5525	21.1
238.555	25.04375
238.5575	24.625
238.56	21.225
238.5625	16.1875
238.565	9.9625
238.5675	3.28125
238.57	-2.30625
238.5725	-5.94375
238.575	-8.15625
238.5775	-10.35
238.58	-13.91875
238.5825	-18.6875
238.585	-22.35625
238.5875	-23.08125
238.59	-21.96875
238.5925	-21.83125
238.595	-23.84375
238.5975	-27.1625
238.6	-30.94375
238.6025	-34.2875
238.605	-35.5125
238.6075	-34.175
238.61	-31.8625
238.6125	-29.8125
238.615	-28.375
238.6175	-27.8875
238.62	-27.625
238.6225	-25.7625
238.625	-21.66875
238.6275	-16.575
238.63	-11.875
238.6325	-7.8625
238.635	-3.24375
238.6375	3.5375
238.64	12.1375
238.6425	20.13125
238.645	24.86875
238.6475	26.1375
238.65	26.7125
238.6525	29.28125
238.655	32.76875
238.6575	32.6875
238.66	26.5625
238.6625	17.1
238.665	7.9125
238.6675	0.23125
238.67	-4.71875
238.6725	-6.1625
238.675	-6.825
238.6775	-10.2
238.68	-16.3625
238.6825	-22.89375
238.685	-27.8
238.6875	-30.2375
238.69	-30.58125
238.6925	-30.59375
238.695	-31.975
238.6975	-34.3375
238.7	-35.61875
238.7025	-34.275
238.705	-30.06875
238.7075	-23.45625
238.71	-15.58125
238.7125	-8.95
238.715	-6.35
238.7175	-7.84375
238.72	-11.0375
238.7225	-14.49375
238.725	-17.45
238.7275	-18.3
238.73	-16.76875
238.7325	-14.875
238.735	-13.4
238.7375	-11.35625
238.74	-9.375
238.7425	-9.1875
238.745	-10.44375
238.7475	-10.99375
238.75	-9.90625
238.7525	-7.74375
238.755	-5.25
238.7575	-3.36875
238.76	-3.7
238.7625	-7.025
238.765	-11.6
238.7675	-15.3875
238.77	-18.34375
238.7725	-21.0375
238.775	-22.775
238.7775	-22.78125
238.78	-21.14375
238.7825	-19.00625
238.785	-17.53125
238.7875	-16.2875
238.79	-13.99375
238.7925	-11.0125
238.795	-9.0875
238.7975	-8.93125
238.8	-9.64375
238.8025	-9.10625
238.805	-6.3125
238.8075	-2.6875
238.81	0.26875
238.8125	1.875
238.815	1.6625
238.8175	0.74375
238.82	1.4
238.8225	3.0375
238.825	2.66875
238.8275	-1.0125
238.83	-6.175
238.8325	-9.775
238.835	-10.53125
238.8375	-9.7375
238.84	-9.625
238.8425	-11.2625
238.845	-14.075
238.8475	-17.01875
238.85	-19.28125
238.8525	-20.18125
238.855	-20.2875
238.8575	-22.00625
238.86	-26.78125
238.8625	-32.98125
238.865	-37.86875
238.8675	-39.69375
238.87	-37.4375
238.8725	-31.25625
238.875	-23.625
238.8775	-17.78125
238.88	-14.7
238.8825	-12.99375
238.885	-10.80625
238.8875	-6.95625
238.89	-1.725
238.8925	3.73125
238.895	8.70625
238.8975	12.625
238.9	14.54375
238.9025	14.4875
238.905	13.11875
238.9075	10.59375
238.91	6.25
238.9125	0.11875
238.915	-6.05625
238.9175	-9.90625
238.92	-10.2
238.9225	-8.30625
238.925	-7.86875
238.9275	-11.65
238.93	-18.65625
238.9325	-26.2125
238.935	-32.4375
238.9375	-36.7125
238.94	-40.05625
238.9425	-44.31875
238.945	-49.78125
238.9475	-54.73125
238.95	-58.2625
238.9525	-61.05
238.955	-63.63125
238.9575	-65.53125
238.96	-65.85
238.9625	-64.46875
238.965	-62.5
238.9675	-61.11875
238.97	-59.9375
238.9725	-57.10625
238.975	-52.05
238.9775	-46.9875
238.98	-43.74375
238.9825	-40.975
238.985	-36.10625
238.9875	-28.23125
238.99	-19.26875
238.9925	-12.7875
238.995	-9.85625
238.9975	-7.6875
239	-4.1
239.0025	0.525
239.005	5.25625
239.0075	8.3625
239.01	7.5875
239.0125	3.60625
239.015	-0.29375
239.0175	-2.7125
239.02	-4.41875
239.0225	-5.86875
239.025	-6.875
239.0275	-8.49375
239.03	-13.11875
239.0325	-21.38125
239.035	-30.075
239.0375	-35.3875
239.04	-37.0375
239.0425	-36.85
239.045	-36.93125
239.0475	-39.1875
239.05	-43.76875
239.0525	-48.21875
239.055	-49.85
239.0575	-48.35625
239.06	-45.225
239.0625	-42.275
239.065	-40.475
239.0675	-39.1875
239.07	-36.06875
239.0725	-29.73125
239.075	-22.31875
239.0775	-17.19375
239.08	-14.74375
239.0825	-12.725
239.085	-9.70625
239.0875	-5.575
239.09	-0.98125
239.0925	2.65625
239.095	3.70625
239.0975	1.8375
239.1	-1.33125
239.1025	-3.46875
239.105	-3.55
239.1075	-2.41875
239.11	-1.61875
239.1125	-2.425
239.115	-5.10625
239.1175	-8.8
239.12	-11.79375
239.1225	-13.5875
239.125	-16.3125
239.1275	-21.76875
239.13	-28.225
239.1325	-32.93125
239.135	-35.43125
239.1375	-36.2375
239.14	-36.11875
239.1425	-36.28125
239.145	-36.79375
239.1475	-37.16875
239.15	-37.88125
239.1525	-39.0875
239.155	-39.41875
239.1575	-38.475
239.16	-37.5875
239.1625	-37.79375
239.165	-38.525
239.1675	-38.08125
239.17	-34.68125
239.1725	-27.85
239.175	-19.575
239.1775	-12.4875
239.18	-7.54375
239.1825	-3.6
239.185	1.0875
239.1875	6.575
239.19	11.51875
239.1925	15.09375
239.195	16.65
239.1975	15.63125
239.2	13.6875
239.2025	13.09375
239.205	13.2375
239.2075	11.6125
239.21	7.28125
239.2125	1.45625
239.215	-4.24375
239.2175	-8.54375
239.22	-10.1625
239.2225	-9.1625
239.225	-7.5125
239.2275	-6.9875
239.23	-8.75625
239.2325	-13.55
239.235	-20.45625
239.2375	-27.325
239.24	-33.2
239.2425	-38.25625
239.245	-41.8375
239.2475	-42.75
239.25	-41.03125
239.2525	-37.75
239.255	-32.88125
239.2575	-26.3
239.26	-19.63125
239.2625	-14.475
239.265	-10.8875
239.2675	-8.01875
239.27	-4.9125
239.2725	-1.35
239.275	1.85
239.2775	4.85625
239.28	9.325
239.2825	15.975
239.285	23.01875
239.2875	27.30625
239.29	27.1625
239.2925	23.35
239.295	17.55625
239.2975	11.11875
239.3	5.3875
239.3025	1.7125
239.305	0.425
239.3075	0.24375
239.31	-1.15625
239.3125	-5.375
239.315	-11.39375
239.3175	-16.36875
239.32	-18.76875
239.3225	-19.25625
239.325	-18.9875
239.3275	-18.59375
239.33	-18.43125
239.3325	-19.2625
239.335	-21.38125
239.3375	-23.05625
239.34	-22.5125
239.3425	-20.91875
239.345	-21.46875
239.3475	-25.36875
239.35	-30.10625
239.3525	-32.06875
239.355	-29.725
239.3575	-23.85
239.36	-17.41875
239.3625	-14.375
239.365	-15.34375
239.3675	-16.55625
239.37	-14.15
239.3725	-8.2625
239.375	-1.94375
239.3775	2.1125
239.38	2.81875
239.3825	1.0375
239.385	-0.925
239.3875	-1.225
239.39	-0.0125
239.3925	1.325
239.395	1.0625
239.3975	-1.7625
239.4	-6.3125
239.4025	-10.86875
239.405	-14.45
239.4075	-16.9
239.41	-18.18125
239.4125	-19.15
239.415	-21.525
239.4175	-26.05625
239.42	-31.2125
239.4225	-34.375
239.425	-35.0625
239.4275	-35.68125
239.43	-37.675
239.4325	-39.4875
239.435	-38.9625
239.4375	-35.90625
239.44	-32.19375
239.4425	-28.78125
239.445	-25.1
239.4475	-21.5
239.45	-18.55
239.4525	-14.39375
239.455	-7.00625
239.4575	2.4875
239.46	10.89375
239.4625	16.175
239.465	18.45
239.4675	19.00625
239.47	19.94375
239.4725	22.76875
239.475	26.48125
239.4775	29.01875
239.48	29.425
239.4825	27.8125
239.485	25.375
239.4875	23.2
239.49	20.63125
239.4925	16.725
239.495	12.4625
239.4975	9.6
239.5	7.875
239.5025	4.71875
239.505	-1.45625
239.5075	-9.1125
239.51	-15.7375
239.5125	-20.61875
239.515	-24.23125
239.5175	-25.94375
239.52	-24.2
239.5225	-19.5
239.525	-14.9375
239.5275	-12.325
239.53	-10.33125
239.5325	-7.44375
239.535	-3.54375
239.5375	0.975
239.54	5.08125
239.5425	7.3625
239.545	7.825
239.5475	7.5625
239.55	7.10625
239.5525	6.90625
239.555	7.86875
239.5575	10.26875
239.56	12.48125
239.5625	12.375
239.565	10.01875
239.5675	7.6875
239.57	7.925
239.5725	11.00625
239.575	13.73125
239.5775	12.40625
239.58	6.9625
239.5825	0.0625
239.585	-6.3
239.5875	-11.10625
239.59	-13.76875
239.5925	-14.4125
239.595	-14.15
239.5975	-14.96875
239.6	-18.35
239.6025	-23.88125
239.605	-29.49375
239.6075	-33.80625
239.61	-37.1875
239.6125	-40.25
239.615	-42.275
239.6175	-41.64375
239.62	-37.25
239.6225	-30.275
239.625	-23.7875
239.6275	-19.2375
239.63	-15.49375
239.6325	-11.19375
239.635	-5.7875
239.6375	0.3
239.64	6.1875
239.6425	11.23125
239.645	14.44375
239.6475	15.33125
239.65	15.65625
239.6525	17.8375
239.655	21.49375
239.6575	24.0375
239.66	23.10625
239.6625	17.875
239.665	9.5625
239.6675	1.14375
239.67	-4.575
239.6725	-7.28125
239.675	-9.0625
239.6775	-12.28125
239.68	-17.30625
239.6825	-22.85
239.685	-27.91875
239.6875	-32.1625
239.69	-35.34375
239.6925	-37.7875
239.695	-40.44375
239.6975	-43.50625
239.7	-45.875
239.7025	-45.90625
239.705	-42.9125
239.7075	-38.33125
239.71	-34.7625
239.7125	-33.2625
239.715	-31.93125
239.7175	-27.65
239.72	-19.84375
239.7225	-11.575
239.725	-5.65625
239.7275	-1.4
239.73	3.79375
239.7325	11.09375
239.735	19.3375
239.7375	26.825
239.74	32.7875
239.7425	36.89375
239.745	38.55625
239.7475	38.11875
239.75	36.4625
239.7525	33.95625
239.755	30.39375
239.7575	24.975
239.76	17.11875
239.7625	8.2625
239.765	1.0875
239.7675	-4.03125
239.77	-8.6875
239.7725	-13.80625
239.775	-19.2375
239.7775	-24.6
239.78	-28.7
239.7825	-30.8125
239.785	-31.9
239.7875	-31.98125
239.79	-30.3125
239.7925	-28.94375
239.795	-30.56875
239.7975	-33.39375
239.8	-33.69375
239.8025	-30.7875
239.805	-26.075
239.8075	-20.6
239.81	-15.65625
239.8125	-12.39375
239.815	-10.2625
239.8175	-7.75
239.82	-3.9
239.8225	1.6
239.825	8.13125
239.8275	14.0375
239.83	18.3375
239.8325	21.51875
239.835	24.25
239.8375	26.29375
239.84	27.15
239.8425	26.725
239.845	25.11875
239.8475	22.56875
239.85	19.83125
239.8525	18.025
239.855	17.24375
239.8575	16.46875
