Interval=	0.0025 s
ExcelDateTime=	4.6071577265787841e+004	2/18/2026 13:51:15.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
271.3275	-35.80625
271.33	-37.98125
271.3325	-38.55
271.335	-38.1625
271.3375	-37.85
271.34	-38.29375
271.3425	-38.51875
271.345	-37.5375
271.3475	-36.55
271.35	-36.325
271.3525	-35.26875
271.355	-33.13125
271.3575	-31.1375
271.36	-29.24375
271.3625	-27.00625
271.365	-24.40625
271.3675	-22.1
271.37	-22.56875
271.3725	-27.575
271.375	-34.21875
271.3775	-38.825
271.38	-40.7875
271.3825	-41.325
271.385	-41.95625
271.3875	-42.9625
271.39	-41.75625
271.3925	-35.7375
271.395	-27.71875
271.3975	-23.3
271.4	-23.71875
271.4025	-25.35
271.405	-25.46875
271.4075	-24.625
271.41	-23.99375
271.4125	-23.70625
271.415	-23.03125
271.4175	-21.8375
271.42	-21.4375
271.4225	-21.83125
271.425	-19.3875
271.4275	-13.075
271.43	-8.75625
271.4325	-11.6875
271.435	-19.6125
271.4375	-26.9375
271.44	-30.46875
271.4425	-30.575
271.445	-29.81875
271.4475	-29.80625
271.45	-30.35
271.4525	-31.3375
271.455	-32.59375
271.4575	-32.975
271.46	-31.9375
271.4625	-30.58125
271.465	-30.29375
271.4675	-31.54375
271.47	-33.925
271.4725	-35.7875
271.475	-34.6875
271.4775	-30.7
271.48	-26.95
271.4825	-25.5875
271.485	-26.29375
271.4875	-28.25
271.49	-30.05
271.4925	-29.1125
271.495	-25.46875
271.4975	-23.20625
271.5	-25.39375
271.5025	-30.3875
271.505	-35.04375
271.5075	-37.8125
271.51	-38.7875
271.5125	-39.41875
271.515	-41.41875
271.5175	-45.08125
271.52	-47.91875
271.5225	-46.7375
271.525	-41.3
271.5275	-34.525
271.53	-29.50625
271.5325	-28.05625
271.535	-30.7625
271.5375	-35.9375
271.54	-39.8875
271.5425	-40.5375
271.545	-39.05
271.5475	-36.95625
271.55	-35.64375
271.5525	-36.6125
271.555	-39.68125
271.5575	-42.89375
271.56	-44.29375
271.5625	-42.8875
271.565	-39.3125
271.5675	-35.1625
271.57	-31.7125
271.5725	-29.7375
271.575	-29.325
271.5775	-29.31875
