Interval=	0.0025 s
ExcelDateTime=	4.3516512530854234e+004	2/20/2019 12:18:02.665806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.835	-0.59375
1.8375	-10.7125
1.84	-16.26875
1.8425	-14.05
1.845	-6.35
1.8475	-0.01875
1.85	-0.56875
1.8525	-6.91875
1.855	-12.65
1.8575	-11.05
1.86	-1.06875
1.8625	9.4375
1.865	9.7125
1.8675	-2.6125
1.87	-18.94375
1.8725	-27.6875
1.875	-23.70625
1.8775	-11.34375
1.88	-0.375
1.8825	1.8625
1.885	-3.74375
1.8875	-9.76875
1.89	-9.19375
1.8925	-1.0875
1.895	9.875
1.8975	18.3
1.9	21.55625
1.9025	18.8875
1.905	12.2
1.9075	7.04375
1.91	7.78125
1.9125	12
1.915	12.2875
1.9175	3.8875
1.92	-9.95
1.9225	-20.0875
1.925	-19.4125
1.9275	-9.98125
1.93	-2.3
1.9325	-3.5125
1.935	-9.73125
1.9375	-13.96875
1.94	-14.075
1.9425	-10.1625
1.945	-3.6
1.9475	0.76875
1.95	-1.04375
1.9525	-7.41875
1.955	-13.4375
1.9575	-15.21875
1.96	-11.65
1.9625	-5.59375
1.965	-2.39375
1.9675	-4.7
1.97	-10.09375
1.9725	-14.14375
1.975	-12.9375
1.9775	-5.6
1.98	2.01875
1.9825	1.06875
1.985	-10.0875
1.9875	-23.5
1.99	-30.1
1.9925	-27.175
1.995	-18.9625
1.9975	-11.4875
2	-7.58125
2.0025	-7.05625
2.005	-7.6125
2.0075	-5.26875
2.01	1.19375
2.0125	7.94375
2.015	10.5
2.0175	7.71875
2.02	1.59375
2.0225	-3.8
2.025	-3.9875
2.0275	2.05
2.03	8.80625
2.0325	8.975
2.035	1.73125
2.0375	-6.9375
2.04	-11.175
2.0425	-9.36875
2.045	-3.3375
2.0475	2.31875
2.05	2.3375
2.0525	-3.9
2.055	-10.95625
2.0575	-12.95
2.06	-8.3375
2.0625	-0.88125
2.065	3.575
2.0675	2.90625
2.07	0.3625
2.0725	0.16875
2.075	2.90625
2.0775	5.90625
2.08	6.68125
2.0825	4.65625
2.085	0.925
2.0875	-1.9625
2.09	-3.43125
2.0925	-4.75625
2.095	-4.4375
2.0975	-0.65625
2.1	2.7
2.1025	-0.05625
2.105	-7.5
2.1075	-12.33125
2.11	-10.5625
2.1125	-5.93125
2.115	-5.09375
2.1175	-10.4375
2.12	-18.83125
2.1225	-24.96875
2.125	-25.0375
2.1275	-19.4375
2.13	-12.91875
2.1325	-10.39375
2.135	-13.5
2.1375	-20.09375
2.14	-23.875
2.1425	-19.61875
2.145	-9.41875
2.1475	-1.26875
2.15	-2.29375
2.1525	-12.30625
2.155	-23.5125
2.1575	-28.425
2.16	-27.05
2.1625	-24.2125
2.165	-23.1125
