Interval=	0.0025 s
ExcelDateTime=	4.3516510790784792e+004	2/20/2019 12:15:32.323806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.7025	-52.6125
1.705	-50.5
1.7075	-49.5125
1.71	-50.15625
1.7125	-56.10625
1.715	-66.14375
1.7175	-73.15625
1.72	-75.16875
1.7225	-79.0125
1.725	-91.41875
1.7275	-110.0937
1.73	-124.95
1.7325	-129.6375
1.735	-126.85
1.7375	-121.3875
1.74	-116.4437
1.7425	-115.3
1.745	-117.4
1.7475	-116.2125
1.75	-107.2375
1.7525	-94.8375
1.755	-87.825
1.7575	-89.6125
1.76	-95.48125
1.7625	-98.1375
1.765	-93.6
1.7675	-83.88125
1.77	-75.20625
1.7725	-72.40625
1.775	-75.3625
1.7775	-81.11875
1.78	-85.09375
1.7825	-82.34375
1.785	-72.9625
1.7875	-63.175
1.79	-58.5875
1.7925	-59.03125
1.795	-60.93125
1.7975	-60.96875
1.8	-57.4125
1.8025	-51.225
1.805	-46.05625
1.8075	-45.46875
1.81	-50.15625
1.8125	-56.59375
1.815	-58.5625
1.8175	-53.23125
1.82	-44.99375
1.8225	-41.11875
1.825	-44.5
1.8275	-51.41875
1.83	-56.76875
1.8325	-57.81875
1.835	-53.575
1.8375	-47.08125
1.84	-44.45
1.8425	-48.25
1.845	-55.01875
1.8475	-58.91875
1.85	-56.2
1.8525	-48.85
1.855	-43.5875
1.8575	-45.35625
1.86	-52.36875
1.8625	-57.6125
1.865	-55.5
1.8675	-46.85
1.87	-38.39375
1.8725	-36.78125
1.875	-42.81875
1.8775	-52.125
1.88	-58.09375
1.8825	-56.6625
1.885	-50.5125
1.8875	-45.91875
1.89	-46.7625
1.8925	-52.99375
1.895	-60.71875
1.8975	-64.10625
1.9	-60.2
1.9025	-51.6875
1.905	-44.95
1.9075	-44.11875
1.91	-48.2875
1.9125	-53.05625
1.915	-53.2625
1.9175	-47.5625
1.92	-41.28125
1.9225	-41.23125
1.925	-48.90625
1.9275	-60.5375
1.93	-70.1875
1.9325	-72.98125
1.935	-68.73125
1.9375	-62.725
1.94	-60.46875
